1	Outside building	You are standing at the end of a road before a small brick building.  A small stream flows out of the building and down a gully to the south.  A road runs up a small hill to the west.
2	End of road	You are at the end of a road at the top of a small hill. You can see a small building in the valley to the east.
3	Inside building	You are inside a building, a well house for a large spring.
4	Victory	You have found the hidden well of winning a tiny game. Congratulations!

1	WEST	2	UP	2	NORTH	3	IN	3
2	EAST	1	DOWN	1
3	SOUTH	1	OUT	1	DOWN	4

KEYS	a set of keys	3
LAMP	a brightly shining brass lamp	2
